sequence	label
DDDF DDFB DFBB FBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAE AAEE	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDF DDFB DFBB FBBB BBBA BBAA BAAA AAAA	1
OOOE OOEE OEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE	1
ABBA BBAE BAEE AEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD	0
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABB ABBG BBGL BGLL GLLN LLNN LNNN NNNN NNNN NNNN NNNN NNNO NNOO NOOO	0
OOII OIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDE DDEE DEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD	1
OOOG OOGB OGBB GBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAE AAEF AEFF EFFD FFDD FDDD DDDE DDEE DEEE EEEE EEEE	1
GGGG GGGF GGFF GFFF FFFF FFFD FFDD FDDD DDDD DDDD DDDD DDDF DDFF DFFF FFFD FFDD FDDD DDDE DDEE DEEE EEEE EEEE EEEE EEEE EEEG EEGE EGEE	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDEE DEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE	1
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDE DDEE DEEE EEED EEDD EDDD DDDE DDEE DEEE EEEE EEEE EEEE EEEE	0
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIIO IIOO	0
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
ONNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNM NNMM NMMM MMMM MMMM MMML MMLM MLMM LMMM MMMN MMNN MNNN NNNN	0
OOOA OOAA OAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABG ABGG BGGG GGGG GGGE GGEE GEEG EEGG EGGG	1
AAAA AAAA AAAA AAAA AAAA AAAB AABE ABEE BEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDEG DEGG EGGG GGGG GGGG	1
EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABB ABBB BBBB BBBA BBAE BAEE AEEG EEGE EGEE GEEE EEEE EEEE EEEE EEEE EEEE	1
OOOG OOGE OGEE GEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN	0
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIIO IIOO IOOO OOOG OOGG OGGO GGOO GOOO	0
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
OOOI OOII OIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
EEEE EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABB ABBG	1
EEEE EEEE EEEG EEGG EGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGI GGII GIIH	1
EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDC DDCC DCCC CCCA CCAA CAAA AAAA AAAA AAAA	1
EEEE EEEE EEEE EEEE EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAA AAAA AAAE AAED AEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
OOOI OOII OIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEF EEFG EFGE FGEE GEEE EEEE EEEE EEEE EEEG EEGG EGGG GGGE	0
OOOI OOII OIII IIII IIIO IIOO IOOO	0
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
OOOG OOGA OGAA GAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAE AAEE AEEG	1
NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNM NNMM NMMM MMMM MMMM	0
OOOG OOGA OGAA GAAA AAAA AAAA AAAA AAAB AABB ABBB BBBB BBBF BBFF BFFF FFFF FFFF FFFF FFFF	1
EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
MLLL LLLL LLLL LLLL LLLK LLKJ LKJJ KJJJ JJJJ JJJJ JJJJ JJJK JJKJ JKJM KJMM JMMM MMMM	0
EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDEE DEEE EEEE EEEE EEED	0
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEG EEGG EGGG GGGO	0
OOON OONN ONNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN	0
NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN	0
EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNM NNMM NMMM MMMM MMMM MMMM MMMM MMMM	0
GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGF GGFF GFFD FFDD FDDD DDDD DDDD DDDD DDDF	1
EEEE EEEE EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAE AAEE AEEF EEFD EFDD FDDD DDDD DDDD DDDD DDDD DDDD	1
DDDD DDDD DDDA DDAA DAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAC AACC ACCD CCDD CDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAE AAED AEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
DDEE DEEG EEGB EGBB GBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAB AABB ABBA BBAD BADD	1
LLLL LLLL LLLL LLLK LLKK LKKK KKKJ KKJJ KJJK JJKK JKKK KKKL KKLL KLLL LLLK LLKL LKLM KLMM LMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM	0
EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
OOON OONN ONNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNN NNNG NNGG NGGG GGGO GGOO GOOO	0
LLLM LLML LMLL MLLM LLMM LMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM	0
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE	1
EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
OOOE OOEE	0
OOOG	0
EEEE EEEE EEEE EEEE EEEE EEEE EEEA EEAA EAAA AAAA AAAA AAAA AAAA AAAA AAAE AAEE AEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
MMML MMLK MLKK LKKA KKAA KAAA AAAA AAAA AAAA AAAA AAAA AAAA	1
NNNN NNNN NNNN NNNA NNAA NAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABB ABBA BBAA BAAA AAAE AAEE AEEE EEEE EEED EEDD EDDD	1
GGGG GGGG GGGL GGLL GLLL LLLL LLLK LLKB LKBB KBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABF ABFF BFFD FFDD FDDD DDDD DDDD	1
NNNN NNNN NNNN NNNN NNNN NNNM NNMM NMMM MMMJ MMJK MJKJ	0
MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMML MMLK MLKK LKKJ KKJJ KJJJ JJJL JJLL JLLL LLLL LLLL LLLL LLLG LLGG LGGE GGEE GEEE	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDF DDFF DFFD FFDD FDDD	1
OOOA OOAA OAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAC AACC ACCA CCAE CAEE AEEE EEEE EEEE EEED EEDD	1
MMLK MLKJ LKJK KJKJ JKJJ KJJA JJAA JAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAB AABG ABGO BGOO GOOO	1
EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDEE DEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE	1
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
OOOG OOGG OGGG GGGG GGGG GGGG GGGG GGGO GGOO GOOO	0
EGGG GGGB GGBA GBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAC AACC ACCC CCCC CCCC CCCC CCCF CCFF CFFD FFDD FDDD DDDD DDDD	1
EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDE DDEE DEEE EEEE EEEE EEEE EEEB EEBK	1
GGGG GGGG GGGG GGGG GGGO GGOO GOOO	0
IOOO OOOI OOII	0
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEG EEGG EGGO GGOO GOOO	0
DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAC AACC ACCC CCCC CCCC CCCC CCCC CCCC CCCD CCDD CDDD DDDD DDDD	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
NNNN NNNN NNNN NNNN NNNG NNGG NGGE GGEE GEEE EEEE EEEE EEEE EEEG EEGG EGGG GGGG GGGO GGOO GOOO	0
OOON OONN ONNN NNNN NNNN NNNN NNNN NNNN NNNM NNMM	0
OOOG OOGG OGGB GGBB GBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA	1
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEG EEGG EGGE GGEE GEED EEDD EDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD DDDD	1
EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD DDDD DDDD DDDD	1
IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII IIII	0
OOOG OOGB OGBB GBBA BBAA BAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAE AAEE AEEE EEEE EEEG EEGG EGGG GGGG GGGG GGGG GGGG	1
OOOE OOEE OEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEEE EEED EEDD EDDD	1
EEEE EEEE EEEE EEEE EEEE EEEE EEEO EEOO EOOO	0
